State,ICD.Chapter,Year,Deaths,Population,Crude.Rate,GDP,gdp_per_cap,Division,Region,national_crude_rate,ICD.Labels
AK,Certain conditions originating in the perinatal period,2001,23,633714,3.6,28494100000,44963.66,Pacific,West,4.873162412,Perinatal conditions
AK,Certain conditions originating in the perinatal period,2002,11,642337,1.7,29756800000,46325.84,Pacific,West,4.955755041,Perinatal conditions
AK,Certain conditions originating in the perinatal period,2003,19,648414,2.9,32037900000,49409.64,Pacific,West,4.956086465,Perinatal conditions
AK,"Congenital malformations, deformations and chromosomal abnormalities",2000,22,626932,3.5,26806600000,42758.39,Pacific,West,3.758769227,Congenital malformalities
AK,Diseases of the genitourinary system,1999,51,624779,8.2,24744300000,39604.88,Pacific,West,19.03919439,Genitourinary diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2009,85,698895,12.2,49957800000,71481.12,Pacific,West,12.98327786,Non-classified natural cuases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2010,58,710231,8.2,53331600000,75090.5,Pacific,West,12.42447105,Non-classified natural cuases
AK,Diseases of the musculoskeletal system and connective tissue,2001,22,633714,3.5,28494100000,44963.66,Pacific,West,4.932818033,Musculoskeletal system diseases
AK,Diseases of the genitourinary system,2002,34,642337,5.3,29756800000,46325.84,Pacific,West,20.2812554,Genitourinary diseases
AK,Diseases of the genitourinary system,2003,43,648414,6.6,32037900000,49409.64,Pacific,West,20.70987835,Genitourinary diseases
AK,Diseases of the respiratory system,2002,240,642337,37.4,29756800000,46325.84,Pacific,West,81.57456499,Respiratory system diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2002,31,642337,4.8,29756800000,46325.84,Pacific,West,10.42154885,Non-classified natural cuases
AK,Diseases of the digestive system,2001,128,633714,20.2,28494100000,44963.66,Pacific,West,30.12012308,Digestive system diseases
AK,Diseases of the respiratory system,2005,263,666946,39.4,40356600000,60509.55,Pacific,West,81.10542718,Respiratory system diseases
AK,Diseases of the respiratory system,2006,250,675302,37,45094100000,66776.2,Pacific,West,75.96389398,Respiratory system diseases
AK,Diseases of the respiratory system,2008,286,687455,41.6,55122500000,80183.43,Pacific,West,80.59975777,Respiratory system diseases
AK,Diseases of the digestive system,2006,142,675302,21,45094100000,66776.2,Pacific,West,29.36089076,Digestive system diseases
AK,Diseases of the digestive system,2007,170,680300,25,49583700000,72885.05,Pacific,West,29.59553922,Digestive system diseases
AK,Diseases of the digestive system,2008,163,687455,23.7,55122500000,80183.43,Pacific,West,29.9568588,Digestive system diseases
AK,Certain infectious and parasitic diseases,2005,68,666946,10.2,40356600000,60509.55,Pacific,West,22.5053348,Infectious & parasitic diseases
AK,Diseases of the digestive system,2010,151,710231,21.3,53331600000,75090.5,Pacific,West,29.57581204,Digestive system diseases
AK,Certain infectious and parasitic diseases,2006,65,675302,9.6,45094100000,66776.2,Pacific,West,22.45224873,Infectious & parasitic diseases
AK,Certain infectious and parasitic diseases,2007,78,680300,11.5,49583700000,72885.05,Pacific,West,22.1922558,Infectious & parasitic diseases
AK,"Endocrine, nutritional and metabolic diseases",2000,112,626932,17.9,26806600000,42758.39,Pacific,West,33.52439806,Endocrine & nutritional diseases
AK,"Endocrine, nutritional and metabolic diseases",2001,102,633714,16.1,28494100000,44963.66,Pacific,West,33.97563078,Endocrine & nutritional diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2005,10,666946,1.5,40356600000,60509.55,Pacific,West,3.245502971,Blood diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2007,18,680300,2.6,49583700000,72885.05,Pacific,West,3.235056586,Blood diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2008,15,687455,2.2,55122500000,80183.43,Pacific,West,3.24669382,Blood diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2009,17,698895,2.4,49957800000,71481.12,Pacific,West,3.143707642,Blood diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2010,18,710231,2.5,53331600000,75090.5,Pacific,West,3.165713767,Blood diseases
AK,Neoplasms,2010,910,710231,128.1,53331600000,75090.5,Pacific,West,190.985756,Neoplasms
AK,"Endocrine, nutritional and metabolic diseases",2008,131,687455,19.1,55122500000,80183.43,Pacific,West,32.66293025,Endocrine & nutritional diseases
AK,"Endocrine, nutritional and metabolic diseases",2009,123,698895,17.6,49957800000,71481.12,Pacific,West,31.94038258,Endocrine & nutritional diseases
AK,"Endocrine, nutritional and metabolic diseases",2010,144,710231,20.3,53331600000,75090.5,Pacific,West,32.02993658,Endocrine & nutritional diseases
AK,Certain conditions originating in the perinatal period,2006,30,675302,4.4,45094100000,66776.2,Pacific,West,4.840138166,Perinatal conditions
AK,"Congenital malformations, deformations and chromosomal abnormalities",2003,17,648414,2.6,32037900000,49409.64,Pacific,West,3.625547186,Congenital malformalities
AK,"Congenital malformations, deformations and chromosomal abnormalities",2004,27,659286,4.1,35302400000,53546.41,Pacific,West,3.58531764,Congenital malformalities
AK,Mental and behavioural disorders,2009,169,698895,24.2,49957800000,71481.12,Pacific,West,34.63228819,Mental health
AK,Mental and behavioural disorders,2010,184,710231,25.9,53331600000,75090.5,Pacific,West,39.13287323,Mental health
AK,"Congenital malformations, deformations and chromosomal abnormalities",2007,26,680300,3.8,49583700000,72885.05,Pacific,West,3.459468925,Congenital malformalities
AK,"Congenital malformations, deformations and chromosomal abnormalities",2008,23,687455,3.3,55122500000,80183.43,Pacific,West,3.383164795,Congenital malformalities
AK,Diseases of the circulatory system,1999,777,624779,124.4,24744300000,39604.88,Pacific,West,342.0077499,Circulatory system diseases
AK,Diseases of the circulatory system,2000,827,626932,131.9,26806600000,42758.39,Pacific,West,334.5603096,Circulatory system diseases
AK,Diseases of the nervous system,2010,189,710231,26.6,53331600000,75090.5,Pacific,West,45.70300867,Nervous system diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2007,58,680300,8.5,49583700000,72885.05,Pacific,West,11.12102572,Non-classified natural cuases
AK,Diseases of the circulatory system,2001,864,633714,136.3,28494100000,44963.66,Pacific,West,325.2982417,Circulatory system diseases
AK,Diseases of the circulatory system,2002,797,642337,124.1,29756800000,46325.84,Pacific,West,321.0216012,Circulatory system diseases
AK,Diseases of the circulatory system,2003,922,648414,142.2,32037900000,49409.64,Pacific,West,312.7043065,Circulatory system diseases
AK,Diseases of the circulatory system,2004,815,659286,123.6,35302400000,53546.41,Pacific,West,295.712887,Circulatory system diseases
AK,Diseases of the circulatory system,2005,853,666946,127.9,40356600000,60509.55,Pacific,West,291.301065,Circulatory system diseases
AK,Diseases of the circulatory system,2006,877,675302,129.9,45094100000,66776.2,Pacific,West,277.4117716,Circulatory system diseases
AK,Diseases of the digestive system,2000,102,626932,16.3,26806600000,42758.39,Pacific,West,29.85375275,Digestive system diseases
AK,Diseases of the respiratory system,2004,236,659286,35.8,35302400000,53546.41,Pacific,West,77.55768135,Respiratory system diseases
AK,Certain infectious and parasitic diseases,1999,61,624779,9.8,24744300000,39604.88,Pacific,West,21.49654669,Infectious & parasitic diseases
AK,Certain infectious and parasitic diseases,2000,51,626932,8.1,26806600000,42758.39,Pacific,West,20.96745091,Infectious & parasitic diseases
AK,Diseases of the genitourinary system,2006,58,675302,8.6,45094100000,66776.2,Pacific,West,21.30874011,Genitourinary diseases
AK,Diseases of the respiratory system,2009,306,698895,43.8,49957800000,71481.12,Pacific,West,77.78948743,Respiratory system diseases
AK,Diseases of the respiratory system,2010,305,710231,42.9,53331600000,75090.5,Pacific,West,76.9024879,Respiratory system diseases
AK,Certain infectious and parasitic diseases,2003,61,648414,9.4,32037900000,49409.64,Pacific,West,22.28860112,Infectious & parasitic diseases
AK,Certain infectious and parasitic diseases,2004,53,659286,8,35302400000,53546.41,Pacific,West,22.06858976,Infectious & parasitic diseases
AK,Neoplasms,1999,654,624779,104.7,24744300000,39604.88,Pacific,West,201.7863607,Neoplasms
AK,External causes of morbidity and mortality,2006,510,675302,75.5,45094100000,66776.2,Pacific,West,60.85731401,Non-natural causes
AK,Neoplasms,2000,717,626932,114.4,26806600000,42758.39,Pacific,West,201.3478652,Neoplasms
AK,"Endocrine, nutritional and metabolic diseases",1999,88,624779,14.1,24744300000,39604.88,Pacific,West,33.28266345,Endocrine & nutritional diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2001,12,633714,1.9,28494100000,44963.66,Pacific,West,3.345978512,Blood diseases
AK,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2002,13,642337,2,29756800000,46325.84,Pacific,West,3.358885186,Blood diseases
AK,Neoplasms,2005,752,666946,112.8,40356600000,60509.55,Pacific,West,193.9051823,Neoplasms
AK,Neoplasms,2006,815,675302,120.7,45094100000,66776.2,Pacific,West,192.3755511,Neoplasms
AK,Neoplasms,2007,853,680300,125.4,49583700000,72885.05,Pacific,West,191.5734448,Neoplasms
AK,Neoplasms,2008,878,687455,127.7,55122500000,80183.43,Pacific,West,190.7104595,Neoplasms
AK,Neoplasms,2009,909,698895,130.1,49957800000,71481.12,Pacific,West,189.7936884,Neoplasms
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2005,35,666946,5.2,40356600000,60509.55,Pacific,West,10.82815656,Non-classified natural cuases
AK,Certain conditions originating in the perinatal period,2004,22,659286,3.3,35302400000,53546.41,Pacific,West,4.854078836,Perinatal conditions
AK,Certain conditions originating in the perinatal period,2005,21,666946,3.1,40356600000,60509.55,Pacific,West,4.923242907,Perinatal conditions
AK,Diseases of the musculoskeletal system and connective tissue,2000,13,626932,2.1,26806600000,42758.39,Pacific,West,4.890877258,Musculoskeletal system diseases
AK,External causes of morbidity and mortality,2005,502,666946,75.3,40356600000,60509.55,Pacific,West,59.69410876,Non-natural causes
AK,Certain conditions originating in the perinatal period,2007,25,680300,3.7,49583700000,72885.05,Pacific,West,4.846443416,Perinatal conditions
AK,"Congenital malformations, deformations and chromosomal abnormalities",2005,29,666946,4.3,40356600000,60509.55,Pacific,West,3.522644764,Congenital malformalities
AK,"Congenital malformations, deformations and chromosomal abnormalities",2006,21,675302,3.1,45094100000,66776.2,Pacific,West,3.515317077,Congenital malformalities
AK,Certain conditions originating in the perinatal period,2010,12,710231,1.7,53331600000,75090.5,Pacific,West,3.928153935,Perinatal conditions
AK,Diseases of the circulatory system,2009,928,698895,132.8,49957800000,71481.12,Pacific,West,255.8066593,Circulatory system diseases
AK,Diseases of the nervous system,2008,162,687455,23.6,55122500000,80183.43,Pacific,West,44.92262763,Nervous system diseases
AK,Diseases of the nervous system,2009,143,698895,20.5,49957800000,71481.12,Pacific,West,43.73547977,Nervous system diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2006,49,675302,7.3,45094100000,66776.2,Pacific,West,10.63241818,Non-classified natural cuases
AK,Certain infectious and parasitic diseases,2002,67,642337,10.4,29756800000,46325.84,Pacific,West,22.24457438,Infectious & parasitic diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2008,49,687455,7.1,55122500000,80183.43,Pacific,West,12.66779493,Non-classified natural cuases
AK,Diseases of the musculoskeletal system and connective tissue,1999,15,624779,2.4,24744300000,39604.88,Pacific,West,4.783182327,Musculoskeletal system diseases
AK,Diseases of the genitourinary system,2010,72,710231,10.1,53331600000,75090.5,Pacific,West,21.27188636,Genitourinary diseases
AK,External causes of morbidity and mortality,2004,544,659286,82.5,35302400000,53546.41,Pacific,West,58.08194085,Non-natural causes
AK,External causes of morbidity and mortality,2003,511,648414,78.8,32037900000,49409.64,Pacific,West,57.51549028,Non-natural causes
AK,Neoplasms,2001,709,633714,111.9,28494100000,44963.66,Pacific,West,199.1248485,Neoplasms
AK,Diseases of the respiratory system,2003,256,648414,39.5,32037900000,49409.64,Pacific,West,81.32662818,Respiratory system diseases
AK,Diseases of the circulatory system,2008,850,687455,123.6,55122500000,80183.43,Pacific,West,265.8799879,Circulatory system diseases
AK,Neoplasms,2004,751,659286,113.9,35302400000,53546.41,Pacific,West,193.8038703,Neoplasms
AK,Diseases of the circulatory system,2010,945,710231,133.1,53331600000,75090.5,Pacific,West,254.0778419,Circulatory system diseases
AK,Diseases of the musculoskeletal system and connective tissue,2008,21,687455,3.1,55122500000,80183.43,Pacific,West,4.561419019,Musculoskeletal system diseases
AK,Certain infectious and parasitic diseases,2001,58,633714,9.2,28494100000,44963.66,Pacific,West,21.17283267,Infectious & parasitic diseases
AK,"Congenital malformations, deformations and chromosomal abnormalities",2010,24,710231,3.4,53331600000,75090.5,Pacific,West,3.133000743,Congenital malformalities
AK,Diseases of the genitourinary system,2008,66,687455,9.6,55122500000,80183.43,Pacific,West,20.76003047,Genitourinary diseases
AK,Diseases of the genitourinary system,2009,60,698895,8.6,49957800000,71481.12,Pacific,West,20.71183079,Genitourinary diseases
AK,Diseases of the musculoskeletal system and connective tissue,2010,26,710231,3.7,53331600000,75090.5,Pacific,West,4.315204063,Musculoskeletal system diseases
AK,Neoplasms,2003,750,648414,115.7,32037900000,49409.64,Pacific,West,196.6388834,Neoplasms
AK,External causes of morbidity and mortality,2001,500,633714,78.9,28494100000,44963.66,Pacific,West,55.15442901,Non-natural causes
AK,External causes of morbidity and mortality,2002,546,642337,85,29756800000,46325.84,Pacific,West,57.05724116,Non-natural causes
AK,Neoplasms,2002,728,642337,113.3,29756800000,46325.84,Pacific,West,198.3727482,Neoplasms
AK,"Congenital malformations, deformations and chromosomal abnormalities",2009,20,698895,2.9,49957800000,71481.12,Pacific,West,3.221615784,Congenital malformalities
AK,Diseases of the musculoskeletal system and connective tissue,2006,13,675302,1.9,45094100000,66776.2,Pacific,West,4.668544845,Musculoskeletal system diseases
AK,Diseases of the genitourinary system,2004,36,659286,5.5,35302400000,53546.41,Pacific,West,20.60276928,Genitourinary diseases
AK,Diseases of the genitourinary system,2005,51,666946,7.6,40356600000,60509.55,Pacific,West,21.2417848,Genitourinary diseases
AK,Certain conditions originating in the perinatal period,2008,15,687455,2.2,55122500000,80183.43,Pacific,West,4.581807454,Perinatal conditions
AK,Diseases of the musculoskeletal system and connective tissue,2009,28,698895,4,49957800000,71481.12,Pacific,West,4.344927329,Musculoskeletal system diseases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2004,38,659286,5.8,35302400000,53546.41,Pacific,West,10.28874826,Non-classified natural cuases
AK,External causes of morbidity and mortality,2000,540,626932,86.1,26806600000,42758.39,Pacific,West,53.75132382,Non-natural causes
AK,Diseases of the musculoskeletal system and connective tissue,2003,17,648414,2.6,32037900000,49409.64,Pacific,West,4.994348086,Musculoskeletal system diseases
AK,Certain conditions originating in the perinatal period,2009,18,698895,2.6,49957800000,71481.12,Pacific,West,4.275494549,Perinatal conditions
AK,External causes of morbidity and mortality,2009,544,698895,77.8,49957800000,71481.12,Pacific,West,58.60061414,Non-natural causes
AK,External causes of morbidity and mortality,2010,596,710231,83.9,53331600000,75090.5,Pacific,West,59.36960294,Non-natural causes
AK,External causes of morbidity and mortality,1999,474,624779,75.9,24744300000,39604.88,Pacific,West,54.1531354,Non-natural causes
AK,Diseases of the musculoskeletal system and connective tissue,2004,24,659286,3.6,35302400000,53546.41,Pacific,West,4.878327031,Musculoskeletal system diseases
AK,Diseases of the circulatory system,2007,818,680300,120.2,49583700000,72885.05,Pacific,West,268.9817593,Circulatory system diseases
AK,Diseases of the genitourinary system,2007,54,680300,7.9,49583700000,72885.05,Pacific,West,21.49279308,Genitourinary diseases
AK,Diseases of the musculoskeletal system and connective tissue,2002,22,642337,3.4,29756800000,46325.84,Pacific,West,5.006515545,Musculoskeletal system diseases
AK,External causes of morbidity and mortality,2007,580,680300,85.3,49583700000,72885.05,Pacific,West,61.43984942,Non-natural causes
AK,Diseases of the musculoskeletal system and connective tissue,2007,23,680300,3.4,49583700000,72885.05,Pacific,West,4.620039251,Musculoskeletal system diseases
AK,External causes of morbidity and mortality,2008,583,687455,84.8,55122500000,80183.43,Pacific,West,60.44710535,Non-natural causes
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2003,47,648414,7.2,32037900000,49409.64,Pacific,West,10.83872463,Non-classified natural cuases
AK,Diseases of the musculoskeletal system and connective tissue,2005,25,666946,3.7,40356600000,60509.55,Pacific,West,4.878913756,Musculoskeletal system diseases
AL,Certain infectious and parasitic diseases,1999,1092,4430141,24.6,1.1568E+11,26112.06,East South Central,South,21.49654669,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2000,1188,4447100,26.7,1.19852E+11,26950.53,East South Central,South,20.96745091,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2001,1211,4467634,27.1,1.22916E+11,27512.44,East South Central,South,21.17283267,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2002,1215,4480089,27.1,1.28E+11,28460.37,East South Central,South,22.24457438,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2003,1350,4503491,30,1.34153E+11,29788.58,East South Central,South,22.28860112,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2004,1251,4530729,27.6,1.47715E+11,32602.97,East South Central,South,22.06858976,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2005,1303,4569805,28.5,1.58847E+11,34760.08,East South Central,South,22.5053348,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2006,1312,4628981,28.3,1.66E+11,35962.34,East South Central,South,22.45224873,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2007,1241,4672840,26.6,1.72975E+11,37017.15,East South Central,South,22.1922558,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2008,1385,4718206,29.4,1.74526E+11,36989.97,East South Central,South,22.50357049,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2009,1381,4757938,29,1.70931E+11,35925.42,East South Central,South,22.67420325,Infectious & parasitic diseases
AL,Certain infectious and parasitic diseases,2010,1358,4779736,28.4,1.77249E+11,37083.47,East South Central,South,21.88954711,Infectious & parasitic diseases
AL,"Endocrine, nutritional and metabolic diseases",2002,1931,4480089,43.1,1.28E+11,28460.37,East South Central,South,34.57902938,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2003,1863,4503491,41.4,1.34153E+11,29788.58,East South Central,South,34.62263129,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2004,1885,4530729,41.6,1.47715E+11,32602.97,East South Central,South,33.82520763,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2005,1941,4569805,42.5,1.58847E+11,34760.08,East South Central,South,34.90565347,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2006,1894,4628981,40.9,1.66E+11,35962.34,East South Central,South,33.2475465,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2007,1800,4672840,38.5,1.72975E+11,37017.15,East South Central,South,32.87441596,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2008,1850,4718206,39.2,1.74526E+11,36989.97,East South Central,South,32.66293025,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2009,1761,4757938,37,1.70931E+11,35925.42,East South Central,South,31.94038258,Endocrine & nutritional diseases
AL,"Endocrine, nutritional and metabolic diseases",2010,1772,4779736,37.1,1.77249E+11,37083.47,East South Central,South,32.02993658,Endocrine & nutritional diseases
AL,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2010,184,4779736,3.8,1.77249E+11,37083.47,East South Central,South,3.165713767,Blood diseases
AL,Diseases of the nervous system,2002,1911,4480089,42.7,1.28E+11,28460.37,East South Central,South,35.83274432,Nervous system diseases
AL,Diseases of the nervous system,2003,2019,4503491,44.8,1.34153E+11,29788.58,East South Central,South,37.79283071,Nervous system diseases
AL,Diseases of the nervous system,2004,2125,4530729,46.9,1.47715E+11,32602.97,East South Central,South,38.16563456,Nervous system diseases
AL,Diseases of the nervous system,2005,2344,4569805,51.3,1.58847E+11,34760.08,East South Central,South,40.84812847,Nervous system diseases
AL,Diseases of the nervous system,2006,2368,4628981,51.2,1.66E+11,35962.34,East South Central,South,41.2108842,Nervous system diseases
AL,Diseases of the nervous system,2007,2450,4672840,52.4,1.72975E+11,37017.15,East South Central,South,42.15931054,Nervous system diseases
AL,Diseases of the nervous system,2008,2490,4718206,52.8,1.74526E+11,36989.97,East South Central,South,44.92262763,Nervous system diseases
AL,Diseases of the nervous system,2009,2538,4757938,53.3,1.70931E+11,35925.42,East South Central,South,43.73547977,Nervous system diseases
AL,Diseases of the circulatory system,1999,17548,4430141,396.1,1.1568E+11,26112.06,East South Central,South,342.0077499,Circulatory system diseases
AL,Diseases of the circulatory system,2000,17607,4447100,395.9,1.19852E+11,26950.53,East South Central,South,334.5603096,Circulatory system diseases
AL,Diseases of the circulatory system,2001,17301,4467634,387.3,1.22916E+11,27512.44,East South Central,South,325.2982417,Circulatory system diseases
AL,Diseases of the circulatory system,2002,17436,4480089,389.2,1.28E+11,28460.37,East South Central,South,321.0216012,Circulatory system diseases
AL,Diseases of the circulatory system,2003,17338,4503491,385,1.34153E+11,29788.58,East South Central,South,312.7043065,Circulatory system diseases
AL,Diseases of the circulatory system,2004,16865,4530729,372.2,1.47715E+11,32602.97,East South Central,South,295.712887,Circulatory system diseases
AL,Diseases of the circulatory system,2005,16989,4569805,371.8,1.58847E+11,34760.08,East South Central,South,291.301065,Circulatory system diseases
AL,Diseases of the circulatory system,2006,16378,4628981,353.8,1.66E+11,35962.34,East South Central,South,277.4117716,Circulatory system diseases
