State,State Code,Year,Year Code,Avg Daily Sunlight (KJ/m²)
Idaho,16,2003,2003,15968.89
Idaho,16,2004,2004,15958.08
Idaho,16,2005,2005,15900.89
Idaho,16,2006,2006,16308.43
Idaho,16,2007,2007,16188.47
Idaho,16,2008,2008,16017.1
Idaho,16,2009,2009,16014.68
Idaho,16,2010,2010,15833.57
Illinois,17,1999,1999,15465.77
Illinois,17,2000,2000,15072.49
Illinois,17,2001,2001,15051.92
Illinois,17,2002,2002,14934.08
Illinois,17,2003,2003,15409.89
Illinois,17,2004,2004,15107.19
Illinois,17,2005,2005,15406.26
Illinois,17,2006,2006,15224.96
Illinois,17,2007,2007,15591.87
Illinois,17,2008,2008,15222.39
Illinois,17,2009,2009,14472.11
Illinois,17,2010,2010,15524.6
Indiana,18,1999,1999,15583.28
Indiana,18,2000,2000,14938.3
Indiana,18,2001,2001,14967.92
Indiana,18,2002,2002,14785.85
Indiana,18,2003,2003,15062.05
Indiana,18,2004,2004,14949.66
Indiana,18,2005,2005,15078.13
Indiana,18,2006,2006,15027.43
Indiana,18,2007,2007,15603.23
Indiana,18,2008,2008,15319.29
Indiana,18,2009,2009,14452.38
Indiana,18,2010,2010,15488.79
Iowa,19,1999,1999,15099.14
Iowa,19,2000,2000,14760.27
Iowa,19,2001,2001,14631.21
Iowa,19,2002,2002,14652.53
Iowa,19,2003,2003,14968.24
Iowa,19,2004,2004,14805.72
Iowa,19,2005,2005,14982.68
Iowa,19,2006,2006,14795.98
Iowa,19,2007,2007,15311.84
Iowa,19,2008,2008,14818.8
Iowa,19,2009,2009,14412.56
Iowa,19,2010,2010,15170.01
Kansas,20,1999,1999,16702.36
Kansas,20,2000,2000,16661.36
Kansas,20,2001,2001,16768.5
Kansas,20,2002,2002,16726.99
Kansas,20,2003,2003,16789.95
Kansas,20,2004,2004,16609.15
Kansas,20,2005,2005,16648.93
Kansas,20,2006,2006,16860.87
Kansas,20,2007,2007,16770.71
Kansas,20,2008,2008,16691.07
Kansas,20,2009,2009,16226
Kansas,20,2010,2010,16939.87
Kentucky,21,1999,1999,15984.32
Kentucky,21,2000,2000,15577.1
Kentucky,21,2001,2001,15478.65
Kentucky,21,2002,2002,14840.64
Kentucky,21,2003,2003,15298.72
Kentucky,21,2004,2004,15138.45
Kentucky,21,2005,2005,15563.1
Kentucky,21,2006,2006,15655.07
Kentucky,21,2007,2007,16220.59
Kentucky,21,2008,2008,15695.23
Kentucky,21,2009,2009,14684.87
Kentucky,21,2010,2010,15734.34
Louisiana,22,1999,1999,18508.08
Louisiana,22,2000,2000,18401.08
Louisiana,22,2001,2001,17207.38
Louisiana,22,2002,2002,16861.23
Louisiana,22,2003,2003,17741.69
Louisiana,22,2004,2004,17846.46
Louisiana,22,2005,2005,18228.86
Louisiana,22,2006,2006,18435.51
Louisiana,22,2007,2007,17654.09
Louisiana,22,2008,2008,18291.71
Louisiana,22,2009,2009,18155.03
Louisiana,22,2010,2010,18197.88
Maine,23,1999,1999,14084.4
Maine,23,2000,2000,13563.06
Maine,23,2001,2001,14565.62
Maine,23,2002,2002,13642.84
Maine,23,2003,2003,13735.3
Maine,23,2004,2004,13973.26
Maine,23,2005,2005,13979.56
Maine,23,2006,2006,13710.44
Maine,23,2007,2007,14242.49
Maine,23,2008,2008,14035.31
Maine,23,2009,2009,13769.95
Maine,23,2010,2010,13810.57
Maryland,24,1999,1999,16145.29
Maryland,24,2000,2000,15470.94
Maryland,24,2001,2001,15879.38
Maryland,24,2002,2002,15606.64
Maryland,24,2003,2003,14907.91
Maryland,24,2004,2004,15306.82
Maryland,24,2005,2005,15476.42
Maryland,24,2006,2006,16005.46
Maryland,24,2007,2007,16034.71
Maryland,24,2008,2008,16076
Maryland,24,2009,2009,14945.52
Maryland,24,2010,2010,16141.41
Massachusetts,25,1999,1999,15352.45
Massachusetts,25,2000,2000,14328.36
Massachusetts,25,2001,2001,15441.66
Massachusetts,25,2002,2002,14853.24
Massachusetts,25,2003,2003,14494.64
Massachusetts,25,2004,2004,14901.47
Massachusetts,25,2005,2005,15045.29
Massachusetts,25,2006,2006,14731.46
Massachusetts,25,2007,2007,15315.42
Massachusetts,25,2008,2008,15205.33
Massachusetts,25,2009,2009,14746.04
Massachusetts,25,2010,2010,15165.1
Michigan,26,1999,1999,14778.2
Michigan,26,2000,2000,14209.38
Michigan,26,2001,2001,14213.92
Michigan,26,2002,2002,14151.26
Michigan,26,2003,2003,14403.18
Michigan,26,2004,2004,14146.41
Michigan,26,2005,2005,14727.18
Michigan,26,2006,2006,14591.6
Michigan,26,2007,2007,14985.34
Michigan,26,2008,2008,14679.01
Michigan,26,2009,2009,14152.55
Michigan,26,2010,2010,14872.27
Minnesota,27,1999,1999,14241.7
Minnesota,27,2000,2000,14079.45
Minnesota,27,2001,2001,14126.48
Minnesota,27,2002,2002,13852.34
Minnesota,27,2003,2003,14351.55
Minnesota,27,2004,2004,13816.18
Minnesota,27,2005,2005,14204.27
Minnesota,27,2006,2006,14459.55
Minnesota,27,2007,2007,14622.1
Minnesota,27,2008,2008,14295.6
Minnesota,27,2009,2009,13950.77
Minnesota,27,2010,2010,14472.53
Mississippi,28,1999,1999,17698.23
Mississippi,28,2000,2000,18134.65
Mississippi,28,2001,2001,16827.69
Mississippi,28,2002,2002,16393.24
Mississippi,28,2003,2003,17068.34
Mississippi,28,2004,2004,17186.38
Mississippi,28,2005,2005,17498.02
Mississippi,28,2006,2006,18041.19
Mississippi,28,2007,2007,17554.24
Mississippi,28,2008,2008,17605.87
Mississippi,28,2009,2009,17530.25
Mississippi,28,2010,2010,17615.83
Missouri,29,1999,1999,15975.41
Missouri,29,2000,2000,15686.03
Missouri,29,2001,2001,15583.2
Missouri,29,2002,2002,15636.24
Missouri,29,2003,2003,16065.5
Missouri,29,2004,2004,15698.16
Missouri,29,2005,2005,16154.84
Missouri,29,2006,2006,16063.94
Missouri,29,2007,2007,15957.14
Missouri,29,2008,2008,15754.7
Missouri,29,2009,2009,15190.42
Missouri,29,2010,2010,15976.95
Montana,30,1999,1999,14739.19
Montana,30,2000,2000,14820.02
Montana,30,2001,2001,15011.29
Montana,30,2002,2002,14455.9
Montana,30,2003,2003,14813.49
Montana,30,2004,2004,14591.25
Montana,30,2005,2005,14658.77
Montana,30,2006,2006,15119.02
Montana,30,2007,2007,15080.89
Montana,30,2008,2008,14758.98
Montana,30,2009,2009,14855.88
Montana,30,2010,2010,14748.3
Nebraska,31,1999,1999,15836.98
Nebraska,31,2000,2000,15922.15
Nebraska,31,2001,2001,15846.09
Nebraska,31,2002,2002,15861.17
Nebraska,31,2003,2003,15912.58
Nebraska,31,2004,2004,15699.49
Nebraska,31,2005,2005,15871.12
Nebraska,31,2006,2006,15802.57
Nebraska,31,2007,2007,16054.05
Nebraska,31,2008,2008,15817.34
Nebraska,31,2009,2009,15283.58
Nebraska,31,2010,2010,15922.25
Nevada,32,1999,1999,18061.95
Nevada,32,2000,2000,18161.84
Nevada,32,2001,2001,18292.9
Nevada,32,2002,2002,18382.6
Nevada,32,2003,2003,18027.25
Nevada,32,2004,2004,18228.15
Nevada,32,2005,2005,17961.18
Nevada,32,2006,2006,18293.39
Nevada,32,2007,2007,18346.94
Nevada,32,2008,2008,18439.56
Nevada,32,2009,2009,18137.1
Nevada,32,2010,2010,17971.14
New Hampshire,33,1999,1999,14514.6
New Hampshire,33,2000,2000,13609.06
New Hampshire,33,2001,2001,14902.09
New Hampshire,33,2002,2002,13969.86
New Hampshire,33,2003,2003,13976.64
New Hampshire,33,2004,2004,14261.85
New Hampshire,33,2005,2005,14363.74
New Hampshire,33,2006,2006,13858.99
New Hampshire,33,2007,2007,14495.98
New Hampshire,33,2008,2008,14362.02
New Hampshire,33,2009,2009,14151.96
New Hampshire,33,2010,2010,14350.71
New Jersey,34,1999,1999,15867.27
New Jersey,34,2000,2000,15168.73
New Jersey,34,2001,2001,15808.4
New Jersey,34,2002,2002,15587.45
New Jersey,34,2003,2003,14861.22
New Jersey,34,2004,2004,15339.35
New Jersey,34,2005,2005,15533.12
New Jersey,34,2006,2006,15861.63
New Jersey,34,2007,2007,15758.56
New Jersey,34,2008,2008,15858.73
New Jersey,34,2009,2009,14882.3
New Jersey,34,2010,2010,15857.23
New Mexico,35,1999,1999,19255.48
New Mexico,35,2000,2000,19331.91
New Mexico,35,2001,2001,19195.24
New Mexico,35,2002,2002,19326.95
New Mexico,35,2003,2003,19414.87
New Mexico,35,2004,2004,19076.99
New Mexico,35,2005,2005,19128.96
New Mexico,35,2006,2006,19247.81
New Mexico,35,2007,2007,19192.38
New Mexico,35,2008,2008,19281.61
New Mexico,35,2009,2009,19517.26
New Mexico,35,2010,2010,19493.48
New York,36,1999,1999,14746.56
New York,36,2000,2000,13524.05
New York,36,2001,2001,14320.23
New York,36,2002,2002,13987
New York,36,2003,2003,13743.23
New York,36,2004,2004,13864.58
New York,36,2005,2005,14405.89
New York,36,2006,2006,13748.18
New York,36,2007,2007,14393.31
New York,36,2008,2008,14241.71
New York,36,2009,2009,14025.04
New York,36,2010,2010,14340.83
North Carolina,37,1999,1999,16954.6
North Carolina,37,2000,2000,16777.19
North Carolina,37,2001,2001,16556.98
North Carolina,37,2002,2002,16350.47
North Carolina,37,2003,2003,16115.32
North Carolina,37,2004,2004,16258.33
North Carolina,37,2005,2005,16352.99
North Carolina,37,2006,2006,16963.97
North Carolina,37,2007,2007,17402.86
North Carolina,37,2008,2008,17297.61
North Carolina,37,2009,2009,16251.28
North Carolina,37,2010,2010,17292.98
North Dakota,38,1999,1999,14344.29
North Dakota,38,2000,2000,14516.54
North Dakota,38,2001,2001,14706.4
North Dakota,38,2002,2002,14281.93
North Dakota,38,2003,2003,14538.82
North Dakota,38,2004,2004,14253.12
North Dakota,38,2005,2005,14486.39
North Dakota,38,2006,2006,14983.62
North Dakota,38,2007,2007,14816.28
North Dakota,38,2008,2008,14752.89
North Dakota,38,2009,2009,14499.01
North Dakota,38,2010,2010,14774.87
Ohio,39,1999,1999,15641.87
Ohio,39,2000,2000,14697.44
Ohio,39,2001,2001,14653.37
Ohio,39,2002,2002,14561.34
Ohio,39,2003,2003,14593.76
Ohio,39,2004,2004,14475.14
Ohio,39,2005,2005,14644.42
Ohio,39,2006,2006,14823.62
Ohio,39,2007,2007,15197.93
Ohio,39,2008,2008,14974.18
Ohio,39,2009,2009,14324.67
Ohio,39,2010,2010,15305.65
Oklahoma,40,1999,1999,17413.87
Oklahoma,40,2000,2000,17174
Oklahoma,40,2001,2001,17134.61
Oklahoma,40,2002,2002,16902.97
Oklahoma,40,2003,2003,17281.43
Oklahoma,40,2004,2004,16989.71
Oklahoma,40,2005,2005,17366.94
Oklahoma,40,2006,2006,17732.42
Oklahoma,40,2007,2007,16921.44
Oklahoma,40,2008,2008,17577.5
Oklahoma,40,2009,2009,17082.96
Oklahoma,40,2010,2010,17358.16
Oregon,41,1999,1999,15972.62
Oregon,41,2000,2000,16359.44
Oregon,41,2001,2001,16228.79
Oregon,41,2002,2002,16602.54
Oregon,41,2003,2003,16052.78
Oregon,41,2004,2004,16383.27
Oregon,41,2005,2005,16084.57
Oregon,41,2006,2006,16467.91
Oregon,41,2007,2007,16404.71
Oregon,41,2008,2008,16273.92
Oregon,41,2009,2009,16570.17
Oregon,41,2010,2010,15925.95
Pennsylvania,42,1999,1999,15124.53
Pennsylvania,42,2000,2000,14028.15
Pennsylvania,42,2001,2001,14382.98
Pennsylvania,42,2002,2002,14286.29
Pennsylvania,42,2003,2003,13751.84
Pennsylvania,42,2004,2004,14058.37
Pennsylvania,42,2005,2005,14360.07
Pennsylvania,42,2006,2006,14320.43
Pennsylvania,42,2007,2007,14594.54
Pennsylvania,42,2008,2008,14456.28
Pennsylvania,42,2009,2009,13859.75
Pennsylvania,42,2010,2010,14705.62
Rhode Island,44,1999,1999,15635.96
Rhode Island,44,2000,2000,14659.49
Rhode Island,44,2001,2001,15658.87
Rhode Island,44,2002,2002,15167.59
Rhode Island,44,2003,2003,14732.19
Rhode Island,44,2004,2004,15171.38
Rhode Island,44,2005,2005,15365.96
Rhode Island,44,2006,2006,15132.91
Rhode Island,44,2007,2007,15697.5
Rhode Island,44,2008,2008,15565.08
Rhode Island,44,2009,2009,14906.31
Rhode Island,44,2010,2010,15512.6
South Carolina,45,1999,1999,17861.93
South Carolina,45,2000,2000,17567.78
South Carolina,45,2001,2001,17450.9
South Carolina,45,2002,2002,17048.08
South Carolina,45,2003,2003,16853.06
South Carolina,45,2004,2004,17190.9
South Carolina,45,2005,2005,17208.75
South Carolina,45,2006,2006,17892.63
South Carolina,45,2007,2007,18204.09
South Carolina,45,2008,2008,18230.21
South Carolina,45,2009,2009,17319.65
South Carolina,45,2010,2010,18188.46
South Dakota,46,1999,1999,15203.14
South Dakota,46,2000,2000,15209.69
South Dakota,46,2001,2001,15160.78
South Dakota,46,2002,2002,14990.06
South Dakota,46,2003,2003,15068.24
South Dakota,46,2004,2004,15078.19
South Dakota,46,2005,2005,15073.58
South Dakota,46,2006,2006,15320.61
South Dakota,46,2007,2007,15374.59
South Dakota,46,2008,2008,15257.8
South Dakota,46,2009,2009,14873.92
South Dakota,46,2010,2010,15209.93
Tennessee,47,1999,1999,16479.29
Tennessee,47,2000,2000,16333.37
Tennessee,47,2001,2001,15972.18
Tennessee,47,2002,2002,15242.11
Tennessee,47,2003,2003,15814.09
Tennessee,47,2004,2004,15653.17
Tennessee,47,2005,2005,16094.45
Tennessee,47,2006,2006,16397.76
Tennessee,47,2007,2007,16648.09
Tennessee,47,2008,2008,16381.81
Tennessee,47,2009,2009,15401.34
Tennessee,47,2010,2010,16134.34
Texas,48,1999,1999,18717.75
Texas,48,2000,2000,18634.76
Texas,48,2001,2001,18189.52
Texas,48,2002,2002,17962.91
Texas,48,2003,2003,18513.75
Texas,48,2004,2004,18197.06
Texas,48,2005,2005,18601.97
Texas,48,2006,2006,18862.96
Texas,48,2007,2007,17999.03
Texas,48,2008,2008,18857.41
Texas,48,2009,2009,18920.14
Texas,48,2010,2010,18762.59
Utah,49,1999,1999,17562.72
Utah,49,2000,2000,17534.63
Utah,49,2001,2001,17667.31
Utah,49,2002,2002,17822.85
Utah,49,2003,2003,17573.93
Utah,49,2004,2004,17519.25
Utah,49,2005,2005,17481.79
Utah,49,2006,2006,17723.35
Utah,49,2007,2007,17701.46
Utah,49,2008,2008,17668.72
Utah,49,2009,2009,17511.36
Utah,49,2010,2010,17411.54
Vermont,50,1999,1999,14115.43
Vermont,50,2000,2000,13052.08
Vermont,50,2001,2001,14301.43
Vermont,50,2002,2002,13446.98
Vermont,50,2003,2003,13533.67
Vermont,50,2004,2004,13736.68
Vermont,50,2005,2005,14050.66
Vermont,50,2006,2006,13116.97
Vermont,50,2007,2007,14017.25
Vermont,50,2008,2008,13820.2
Vermont,50,2009,2009,13693.18
Vermont,50,2010,2010,13857.2
Virginia,51,1999,1999,16429.04
Virginia,51,2000,2000,15967.34
Virginia,51,2001,2001,16194.63
Virginia,51,2002,2002,15789.99
Virginia,51,2003,2003,15398.54
Virginia,51,2004,2004,15613.78
Virginia,51,2005,2005,15831.14
Virginia,51,2006,2006,16263.22
Virginia,51,2007,2007,16634.94
Virginia,51,2008,2008,16466.89
Virginia,51,2009,2009,15372.07
Virginia,51,2010,2010,16662.54
Washington,53,1999,1999,14151.82
Washington,53,2000,2000,14776.98
Washington,53,2001,2001,14638.66
Washington,53,2002,2002,14992.72
Washington,53,2003,2003,14770.77
Washington,53,2004,2004,14818.77
Washington,53,2005,2005,14686.89
Washington,53,2006,2006,15084.34
Washington,53,2007,2007,14629.55
Washington,53,2008,2008,14599.95
Washington,53,2009,2009,15368.4
Washington,53,2010,2010,14476.14
West Virginia,54,1999,1999,15579.31
West Virginia,54,2000,2000,14782.65
West Virginia,54,2001,2001,14864.52
West Virginia,54,2002,2002,14538.87
West Virginia,54,2003,2003,14318.77
West Virginia,54,2004,2004,14473.57
West Virginia,54,2005,2005,14702.28
West Virginia,54,2006,2006,14844.61
West Virginia,54,2007,2007,15243.78
West Virginia,54,2008,2008,14973.9
West Virginia,54,2009,2009,14030.15
West Virginia,54,2010,2010,15346.15
Wisconsin,55,1999,1999,14469.21
Wisconsin,55,2000,2000,14119.39
Wisconsin,55,2001,2001,14125.64
Wisconsin,55,2002,2002,13976.86
Wisconsin,55,2003,2003,14654.25
Wisconsin,55,2004,2004,14048.29
Wisconsin,55,2005,2005,14597.48
Wisconsin,55,2006,2006,14627.98
Wisconsin,55,2007,2007,14883.03
Wisconsin,55,2008,2008,14531.25
Wisconsin,55,2009,2009,13983.53
Wisconsin,55,2010,2010,14875.83
Wyoming,56,1999,1999,16378.04
Wyoming,56,2000,2000,16244.77
Wyoming,56,2001,2001,16496.47
Wyoming,56,2002,2002,16360.81
Wyoming,56,2003,2003,16179.52
Wyoming,56,2004,2004,15987.8
Wyoming,56,2005,2005,16253.32
Wyoming,56,2006,2006,16495.93
Wyoming,56,2007,2007,16412.7
Wyoming,56,2008,2008,16221.38
Wyoming,56,2009,2009,16070.17
Wyoming,56,2010,2010,16252.89
